date,section,exports,imports
2003-12-01,6,2882.01527,3046.8824
2003-12-01,7,21586.391888,19955.984627
2003-12-01,8,3147.325496,1916.25051
2003-12-01,9,527.231188,894.897389
2003-12-01,overall,38767.261027,32122.97614
2004-01-01,0,669.946869,1351.476313
2004-01-01,1,121.384517,94.178204
2004-01-01,2,951.902272,730.066876
2004-01-01,3,4234.138399,1700.096315
2004-01-01,4,1848.353939,207.746053
2004-01-01,5,1918.832767,2092.985249
2004-01-01,6,2468.141449,2811.279527
2004-01-01,7,19721.736774,17164.566574
2004-01-01,8,2932.501389,1599.158813
2004-01-01,9,449.126831,766.68688
2004-01-01,overall,35316.065206,28518.240804
2004-02-01,0,712.309222,1063.270886
2004-02-01,1,120.274587,69.021202
2004-02-01,2,839.100165,573.109891
2004-02-01,3,3852.131089,1312.92839
2004-02-01,4,1846.77232,102.372122
2004-02-01,5,1843.839561,2224.06352
2004-02-01,6,2540.008956,2660.94955
2004-02-01,7,17422.837466,16064.933451
2004-02-01,8,2807.37179,1615.898869
2004-02-01,9,448.089704,695.506528
2004-02-01,overall,32432.73486,26382.054409
2004-03-01,0,800.518012,1286.647208
2004-03-01,1,120.954331,118.65585
2004-03-01,2,1149.026256,852.939361
2004-03-01,3,4377.096841,1452.529305
2004-03-01,4,2245.008659,444.096969
2004-03-01,5,2308.959612,2660.425842
2004-03-01,6,3313.264534,3557.218
2004-03-01,7,22088.940726,19823.774714
2004-03-01,8,3289.912894,2123.678459
2004-03-01,9,544.766737,1003.337127
2004-03-01,overall,40238.448602000004,33323.302835
2004-04-01,0,863.161439,1401.939326
2004-04-01,1,138.91812,134.356016
2004-04-01,2,1030.418717,1011.936174
2004-04-01,3,3997.51165,1851.803234
2004-04-01,4,2301.886744,446.556626
2004-04-01,5,2374.163206,2561.06366
2004-04-01,6,3101.430343,3844.896069
2004-04-01,7,22032.420729,19176.757612
2004-04-01,8,3505.942192,2028.205183
2004-04-01,9,530.661816,1067.819013
2004-04-01,overall,39876.514956,33525.332913
2004-05-01,0,796.464765,1239.866057
2004-05-01,1,117.907784,105.038978
2004-05-01,2,1052.745776,808.510816
2004-05-01,3,4264.591152,2026.94856
2004-05-01,4,2224.469202,275.823583
2004-05-01,5,2130.797695,2619.724133
2004-05-01,6,2913.645079,3425.422404
2004-05-01,7,21265.651806,18080.302714
2004-05-01,8,3376.664383,1938.910158
2004-05-01,9,488.019958,1068.786921
2004-05-01,overall,38630.9576,31589.334324000003
2004-06-01,0,880.772147,1470.493201
2004-06-01,1,133.956355,94.255623
2004-06-01,2,1103.126749,1125.572167
2004-06-01,3,3888.571322,2015.942717
2004-06-01,4,2183.702928,327.676747
2004-06-01,5,2243.537766,2734.635207
2004-06-01,6,3147.195999,3742.012411
2004-06-01,7,22125.743351,19951.678538
2004-06-01,8,3655.2645,2080.054741
2004-06-01,9,515.963193,1103.232334
2004-06-01,overall,39877.83431,34645.553686
2004-07-01,0,869.89283,1449.482611
2004-07-01,1,147.567149,94.351969
2004-07-01,2,1103.082806,930.524072
2004-07-01,3,4506.410725,2043.906717
2004-07-01,4,2192.7755,256.02122
2004-07-01,5,2387.965267,2690.740744
2004-07-01,6,3307.891822,3987.565729
2004-07-01,7,23469.418721,20221.842887
2004-07-01,8,3865.204983,2188.706947
2004-07-01,9,585.121402,1066.828876
2004-07-01,overall,42435.331204999995,34929.971772
2004-08-01,0,870.151262,1437.291495
2004-08-01,1,123.512955,97.897502
2004-08-01,2,1034.312283,931.2636
2004-08-01,3,5129.782647,2308.6285
2004-08-01,4,2107.288934,121.533536
2004-08-01,5,2276.065025,2685.380443
2004-08-01,6,3157.911057,3540.983475
2004-08-01,7,22637.874161,19130.261625
2004-08-01,8,3626.340072,1994.752399
2004-08-01,9,565.89745,1081.571835
2004-08-01,overall,41529.135846000005,33329.56441
2004-09-01,0,892.520987,1424.039514
2004-09-01,1,140.657667,126.805337
2004-09-01,2,1138.006183,920.962547
2004-09-01,3,5276.420525,3026.655424
2004-09-01,4,2776.33819,168.32775
2004-09-01,5,2375.084016,2869.554173
